Id,Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
110,"Former member/president of DT Marks Products International LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Products International LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
111,"Former director/chairman/president of DT Marks Products International Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Products International Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
112,"Former member/president of the now-dormant or inactive DT Marks Pune II LLC, of which Pres. Trump retains an ownership stake.",Donald Trump,DT Marks Pune II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
113,"Former director/chairman/president of the now-dormant or inactive DT Marks Pune II Managing Member Corp., of which Pres. Trump retains an ownership stake.",Donald Trump,DT Marks Pune II Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
114,"Former member/president of DT Marks Pune LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Pune LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
115,"Former director/chairman/president of DT Marks Pune Managing Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Pune Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
116,"Former member/president of DT Marks Qatar LLC. The company reportedly was dissolved on Jan. 26, 2017.",Donald Trump,DT Marks Qatar LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
117,"Former director/chairman/president of DT Marks Qatar Member Corp. The company reportedly was dissolved on Jan. 26, 2017.",Donald Trump,DT Marks Qatar Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
118,"Former director/chairman/president of DT Marks Rio LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,DT Marks Rio LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
119,"Former director/chairman/president of the now-dormant or inactive DT Marks Rio Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Rio Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
120,"Former partner/president of DT Marks Vancouver LP, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Vancouver LP,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
121,"Former director/chairman/president of DT Marks Vancouver Manager Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Marks Vancouver Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
122,"Former member/president of DT Marks Worli LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Worli LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
123,"Former director/chairman/president of DT Marks Worli Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Marks Worli Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
124,"Former member/president of DT Tower Gurgaon LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower Gurgaon LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
125,"Former director/chairman/president of DT Tower Gurgaon Managing Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower Gurgaon Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
126,"Former member/president of DT Tower I LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
127,"Former director/chairman/president of DT Tower I Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower I Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
128,"Former president of DT Tower II LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
129,"Former director/chairman/president of DT Tower II Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
130,"Former member/president of DT Tower Kolkata LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,DT Tower Kolkata LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
131,"Former director/chairman/president of DT Tower Kolkata Managing Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DT Tower Kolkata Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
132,"Former president of DT Venture I LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Venture I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
133,"Former director/chairman/president of the now-dormant or inactive DT Venture I Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Venture I Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
134,"Former president of DT Venture II LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Venture II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
135,"Former director/chairman/president of the now-dormant or inactive DT Venture II Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Venture II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
136,"Former member/president of DTTM Operations LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DTTM Operations LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
137,"Former director/chairman/president of DTTM Operations Managing Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DTTM Operations Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
138,"Former member of DTW Venture LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DTW Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
139,"Former director/president of DTW Venture Managing Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DTW Venture Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
140,"Former president/director of the now-dormant or inactive EID Venture I Corporation, of which Pres. Trump retains an ownership interest.",Donald Trump,EID Venture I Corporation,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
141,"Former member of the now-dormant or inactive EID Venture I LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,EID Venture I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
142,"Former member/president of EID Venture II LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provide back office support functions to other entities. ",Donald Trump,EID Venture II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
143,"Former director/chairman/president of EID Venture II Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provide back office support functions to other entities.",Donald Trump,EID Venture II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
144,"Former director/chairman/president of Excel Venture I Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,Excel Venture I Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
145,"Former president/secretary/treasurer/member of Excel Venture I LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,Excel Venture I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
146,"Former director/chairman of Fifty Seven Management Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,Fifty Seven Management Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
147,"Former president of Fifty Seventh Street Associates LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,Fifty Seventh Street Associates LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
