description,familyMember,conflictingEntity,category,notes,dateChanged
"Former director/chairman/president of the now-dormant or inactive DT India Venture Managing Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt India Venture Managing Member Corp.",Active, "",07/05/2017
"Former president of DT Lido Golf Manager LLC, of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Lido Golf Manager LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Lido Golf Manager Member Corp., of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Lido Golf Manager Member Corp/",Active, "",07/05/2017
"Former president of DT Lido Hotel Manager LLC, of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Lido Hotel Manager LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Lido Hotel Manager Member Corp., of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Lido Hotel Manager Member Corp.",Active, "",07/05/2017
"Former director/chairman/president of DT Lido Technical Services Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Dt Lido Technical Services Manager Member Corp.",Active, "",07/05/2017
"Former member/president of the now-dormant or inactive DT Marks Baku LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Marks Baku LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Baku Managing Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Marks Baku Managing Member Corp",Active, "",07/05/2017
"Former member/president of DT Marks Bali LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Bali LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Bali Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Bali Member Corp",Active, "",07/05/2017
"Former member/president of DT Marks Dubai LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Dubai LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Dubai Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Dubai Member Corp.",Active, "",07/05/2017
"Former member/president of DT Marks Gurgaon LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Gurgaon LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Gurgaon Managing Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Gurgaon Managing Member Corp.",Active, "",07/05/2017
"Former member/president of DT Marks Jersey City LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Jersey City LLC",Active, "",07/05/2017
"Former member/president of DT Marks Jupiter LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Jupiter LLC",Active, "",07/05/2017
"Former member/president of DT Marks Lido LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Lido LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Lido Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Lido Member Corp.",Active, "",07/05/2017
"Former member/president of DT Marks Products International LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Products International LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Products International Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Products International Member Corp.",Active, "",07/05/2017
"Former member/president of the now-dormant or inactive DT Marks Pune II LLC, of which Pres. Trump retains an ownership stake.",Donald Trump,"Dt Marks Pune Ii LLC",Active, "",07/05/2017
"Former director/chairman/president of the now-dormant or inactive DT Marks Pune II Managing Member Corp., of which Pres. Trump retains an ownership stake.",Donald Trump,"Dt Marks Pune Ii Managing Member Corp",Active, "",07/05/2017
"Former member/president of DT Marks Pune LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Pune LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Pune Managing Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Marks Pune Managing Member Corp",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Rio LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Marks Rio LLC",Active, "",07/05/2017
"Former director/chairman/president of the now-dormant or inactive DT Marks Rio Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Marks Rio Member Corp.",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Vancouver Manager Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Dt Marks VAncouver Manager Corp.",Active, "",07/05/2017
"Former director/chairman/president of DT Marks Worli Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Dt Marks Worli Member Corp",Active, "",07/05/2017
"Former director/chairman/president of DT Tower Gurgaon Managing Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Tower Gurgaon Managing Member Corp.",Active, "",07/05/2017
"Former member/president of DT Tower I LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Tower I LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Tower I Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Tower I Member Corp.",Active, "",07/05/2017
